#	A
-1	-1	+1	-1	-1	-1	+1	-1	+1	-1	+1	+1	+1	+1	+1	+1	-1	-1	-1	+1	0
-1	+1	+1	-1	-1	-1	+1	-1	+1	-1	+1	+1	+1	+1	+1	+1	-1	-1	-1	+1	0
-1	-1	+1	-1	-1	-1	+1	+1	+1	-1	+1	+1	+1	+1	+1	+1	-1	-1	-1	+1	0
-1	-1	+1	-1	-1	-1	+1	-1	+1	-1	+1	+1	+1	+1	+1	+1	-1	+1	-1	+1	0
-1	-1	+1	-1	-1	-1	+1	-1	+1	-1	+1	+1	+1	+1	+1	+1	-1	-1	+1	+1	0
#	E
+1	+1	+1	+1	+1	+1	-1	-1	-1	-1	+1	+1	+1	-1	-1	+1	+1	+1	+1	+1	1
+1	+1	+1	+1	+1	+1	+1	-1	-1	-1	+1	+1	+1	-1	-1	+1	+1	+1	+1	+1	1
+1	+1	+1	+1	+1	+1	-1	-1	+1	-1	+1	+1	+1	-1	-1	+1	+1	+1	+1	+1	1
+1	+1	+1	+1	+1	+1	-1	-1	-1	-1	+1	+1	+1	-1	+1	+1	+1	+1	+1	+1	1
+1	+1	+1	+1	+1	+1	-1	-1	-1	-1	+1	+1	+1	+1	-1	+1	+1	+1	+1	+1	1
#	I
-1	+1	+1	+1	-1	-1	-1	+1	-1	-1	-1	-1	+1	-1	-1	-1	+1	+1	+1	-1	2
+1	+1	+1	+1	-1	-1	-1	+1	-1	-1	-1	-1	+1	-1	-1	-1	+1	+1	+1	-1	2
-1	+1	+1	+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	-1	-1	-1	+1	+1	+1	-1	2
-1	+1	+1	+1	-1	-1	-1	+1	-1	-1	-1	-1	+1	-1	-1	+1	+1	+1	+1	-1	2
-1	+1	+1	+1	-1	-1	-1	+1	-1	-1	-1	-1	+1	+1	-1	-1	+1	+1	+1	-1	2
#	O
+1	+1	+1	+1	+1	+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	+1	+1	+1	+1	+1	3
+1	+1	+1	+1	+1	+1	+1	-1	-1	+1	+1	-1	-1	-1	+1	+1	+1	+1	+1	+1	3
+1	+1	+1	+1	+1	+1	-1	-1	+1	+1	+1	-1	-1	-1	+1	+1	+1	+1	+1	+1	3
+1	+1	+1	+1	+1	+1	-1	-1	-1	+1	+1	+1	-1	-1	+1	+1	+1	+1	+1	+1	3
+1	+1	+1	+1	+1	+1	-1	-1	-1	+1	+1	-1	-1	+1	+1	+1	+1	+1	+1	+1	3
#	U
+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	+1	+1	+1	+1	+1	4
+1	+1	-1	-1	+1	+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	+1	+1	+1	+1	+1	4
+1	-1	-1	+1	+1	+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	+1	+1	+1	+1	+1	4
+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	+1	+1	-1	-1	+1	+1	+1	+1	+1	+1	4
+1	-1	-1	-1	+1	+1	-1	-1	-1	+1	+1	-1	-1	+1	+1	+1	+1	+1	+1	+1	4
